"","GEOID","NAME","NAMELSAD","State_Name","Elev_mean_m","Elev_cell_count","County_center_Long","County_center_Lat"
"192","13265","Taliaferro","Taliaferro County","Georgia",162,2831,-96.7873997260689,41.9163237828574
"193","48245","Jefferson","Jefferson County","Texas",3,15514,-96.7873997260689,41.9163237828574
"194","30059","Meagher","Meagher County","Montana",1788,41932,-96.7873997260689,41.9163237828574
"195","08067","La Plata","La Plata County","Colorado",2439,25848,-96.7873997260689,41.9163237828574
"196","48027","Bell","Bell County","Texas",203,15378,-96.7873997260689,41.9163237828574
"197","28069","Kemper","Kemper County","Mississippi",103,11012,-96.7873997260689,41.9163237828574
"198","05019","Clark","Clark County","Arkansas",92,12877,-96.7873997260689,41.9163237828574
"199","41035","Klamath","Klamath County","Oregon",1511,100612,-96.7873997260689,41.9163237828574
"200","36075","Oswego","Oswego County","New York",151,21766,-96.7873997260689,41.9163237828574
"201","01019","Cherokee","Cherokee County","Alabama",225,8764,-96.7873997260689,41.9163237828574
"202","48019","Bandera","Bandera County","Texas",506,11094,-96.7873997260689,41.9163237828574
"203","30087","Rosebud","Rosebud County","Montana",941,87509,-96.7873997260689,41.9163237828574
"204","35059","Union","Union County","New Mexico",1656,57526,-96.7873997260689,41.9163237828574
"205","26153","Schoolcraft","Schoolcraft County","Michigan",206,32658,-96.7873997260689,41.9163237828574
"206","36111","Ulster","Ulster County","New York",340,18794,-96.7873997260689,41.9163237828574
"207","34007","Camden","Camden County","New Jersey",26,3562,-96.7873997260689,41.9163237828574
"208","17083","Jersey","Jersey County","Illinois",175,5841,-96.7873997260689,41.9163237828574
"209","51085","Hanover","Hanover County","Virginia",58,7209,-96.7873997260689,41.9163237828574
"210","20199","Wallace","Wallace County","Kansas",1101,14174,-96.7873997260689,41.9163237828574
"211","26003","Alger","Alger County","Michigan",197,88853,-96.7873997260689,41.9163237828574
"212","05049","Fulton","Fulton County","Arkansas",224,9277,-96.7873997260689,41.9163237828574
"213","48215","Hidalgo","Hidalgo County","Texas",36,21390,-96.7873997260689,41.9163237828574
"214","37155","Robeson","Robeson County","North Carolina",43,13925,-96.7873997260689,41.9163237828574
"215","26123","Newaygo","Newaygo County","Michigan",265,14287,-96.7873997260689,41.9163237828574
"216","41049","Morrow","Morrow County","Oregon",710,35133,-96.7873997260689,41.9163237828574
"217","27153","Todd","Todd County","Minnesota",403,17068,-96.7873997260689,41.9163237828574
"218","05083","Logan","Logan County","Arkansas",206,10767,-96.7873997260689,41.9163237828574
"219","37109","Lincoln","Lincoln County","North Carolina",266,4517,-96.7873997260689,41.9163237828574
"220","05091","Miller","Miller County","Arkansas",80,9247,-96.7873997260689,41.9163237828574
"221","12095","Orange","Orange County","Florida",22,13773,-96.7873997260689,41.9163237828574
"222","08111","San Juan","San Juan County","Colorado",3470,5930,-96.7873997260689,41.9163237828574
"223","16041","Franklin","Franklin County","Idaho",1774,10864,-96.7873997260689,41.9163237828574
"224","13045","Carroll","Carroll County","Georgia",323,7286,-96.7873997260689,41.9163237828574
"225","20161","Riley","Riley County","Kansas",378,9649,-96.7873997260689,41.9163237828574
"226","48413","Schleicher","Schleicher County","Texas",720,18470,-96.7873997260689,41.9163237828574
"227","51167","Russell","Russell County","Virginia",688,7185,-96.7873997260689,41.9163237828574
"228","37027","Caldwell","Caldwell County","North Carolina",459,7077,-96.7873997260689,41.9163237828574
"229","16065","Madison","Madison County","Idaho",1692,7896,-96.7873997260689,41.9163237828574
"230","18173","Warrick","Warrick County","Indiana",132,5994,-96.7873997260689,41.9163237828574
"231","21001","Adair","Adair County","Kentucky",259,6243,-96.7873997260689,41.9163237828574
"232","21077","Gallatin","Gallatin County","Kentucky",201,1622,-96.7873997260689,41.9163237828574
