time,dayofyr,ammonium,NO3_ppm[0],NO3_ppm[1],NO3_ppm[2],NO3_ppm[3],NO3_ppm[4],NO3_ppm[5],NO3_ppm[6],NO3_ppm[7],NO3_ppm[8],NO3_ppm[9]        etc...
2006.83,315,0.279325,-0.003181,0.109037,0.242196,0.035026,0.027515,0.018333,0.71113,0.620616,,
2008.58,239,0.280393,0.134171,0.187693,0.250148,0.196343,0.248439,0.203695,0.232995,0.128904,,
2004.67,270,0.281192,0.000308,0.037729,0.080645,0.074201,0.105102,0.123443,1.716967,0.744221,,
2006.83,314,0.281229,-0.007298,0.109337,0.242864,0.035122,0.027591,0.018383,0.71113,0.620616,,
2008.58,238,0.282153,0.133885,0.186931,0.248542,0.19562,0.248001,0.203542,0.232852,0.128823,,
2017.58,236,0.282373,0.089961,0.108193,0.234103,0.202283,0.226536,0.176739,0.225586,0.154731,,
2015.42,176,0.283414,-0.026735,0.07725,0.176487,0.204979,0.199237,0.118535,0.124615,0.070732,,
2004.83,309,0.283584,0.001124,0.090515,0.233843,0.04808,0.022632,0.010377,0.038581,0.039648,,
2008.58,237,0.284128,0.133568,0.186086,0.246761,0.194819,0.247515,0.203373,0.232692,0.128733,,
2006.83,313,0.285949,-0.003211,0.11137,0.247378,0.035775,0.028104,0.018725,0.71113,0.620616,,
2004.92,354,0.286329,0.036573,0.081256,0.172076,0.0113,0.010612,0.008801,0.011525,0.007503,,
2008.58,236,0.286343,0.133212,0.185136,0.24476,0.193918,0.246969,0.203183,0.23251,0.128634,,
2004.75,283,0.287436,0.000789,0.0493,0.119996,0.054045,0.035217,0.01729,0.038079,0.039932,,
2004.92,353,0.287723,0.036477,0.080995,0.171528,0.011039,0.010455,0.008747,0.011472,0.007476,,
2004.83,308,0.288168,0.000953,0.090722,0.238485,0.046646,0.022164,0.010359,0.038778,0.0399,,
2008.58,235,0.288903,0.132804,0.184048,0.242467,0.192886,0.246344,0.202965,0.232301,0.12852,,
2004.92,352,0.289144,0.036383,0.08074,0.170989,0.010777,0.010297,0.008693,0.01142,0.00745,,
2004.92,356,0.290162,0.027973,0.082379,0.174444,0.012365,0.011258,0.009027,0.01175,0.007615,,
2006.83,312,0.290267,0.000017,0.113297,0.251659,0.036394,0.02859,0.019049,0.71113,0.620616,,
2004.92,351,0.290593,0.036291,0.080489,0.170461,0.010515,0.01014,0.00864,0.011368,0.007425,,
2004.92,355,0.291328,0.036803,0.081869,0.173368,0.011881,0.010964,0.008924,0.011648,0.007564,,
2006.67,255,0.29139,0.002943,0.042418,0.06664,0.085717,0.154751,0.226115,0.702406,0.616224,,
2008.58,234,0.291826,0.132336,0.182801,0.239838,0.191704,0.245627,0.202715,0.232059,0.128391,,
2004.92,350,0.292076,0.036202,0.080243,0.169944,0.010253,0.009983,0.008587,0.011317,0.0074,,
2006.75,289,0.292151,0.00142,0.043699,0.135155,0.083233,0.069036,0.046017,0.709098,0.619611,,
2004.58,224,0.2924,0.002005,0.146957,0.431748,0.220712,0.645057,0.814198,1.712913,0.741624,,
2004.92,357,0.292557,0.028152,0.082858,0.175453,0.012819,0.011533,0.009123,0.011846,0.007663,,
2015.42,175,0.293122,-0.019929,0.080625,0.184199,0.204979,0.199237,0.118536,0.124621,0.070729,,
2006.83,311,0.293204,0.000015,0.114314,0.253923,0.036693,0.028832,0.019219,0.711121,0.620611,,
2004.83,307,0.293356,0.001084,0.11104,0.255085,0.035465,0.021969,0.010403,0.039141,0.040311,,
2004.92,349,0.293584,0.036114,0.080001,0.169434,0.00999,0.009825,0.008535,0.011266,0.007376,,
2004.92,348,0.295128,0.03603,0.079766,0.168938,0.009726,0.009667,0.008483,0.011216,0.007352,,
2004.92,358,0.295236,0.028338,0.083355,0.1765,0.013291,0.011818,0.009223,0.011945,0.007712,,
2006.83,310,0.295708,-0.001625,0.115005,0.255462,0.036889,0.028993,0.019333,0.711113,0.620607,,
2008.58,233,0.296315,0.131637,0.180937,0.235911,0.189937,0.244556,0.202342,0.231693,0.1282,,
2004.83,306,0.296574,0.001111,0.118301,0.255331,0.033939,0.021932,0.010407,0.039319,0.040527,,
2004.92,347,0.296729,0.03595,0.079542,0.168467,0.009462,0.00951,0.008432,0.011168,0.007329,,
2004.92,359,0.298178,0.028531,0.083869,0.177584,0.013778,0.012114,0.009327,0.012048,0.007764,,
2004.92,346,0.298415,0.03588,0.079336,0.168035,0.009199,0.009355,0.008382,0.011122,0.007307,,
2006.83,309,0.299058,-0.001829,0.116229,0.258182,0.037282,0.029302,0.019539,0.711113,0.620607,,
2004.92,345,0.300184,0.035817,0.079149,0.16764,0.008936,0.009201,0.008335,0.011079,0.007288,,
2004.92,360,0.301344,0.02873,0.084398,0.178699,0.01428,0.012418,0.009433,0.012154,0.007816,,
2004.92,344,0.302172,0.035779,0.079014,0.167358,0.008678,0.009051,0.008293,0.011042,0.007273,,
2006.83,308,0.302593,-0.001524,0.117593,0.261211,0.037719,0.029646,0.019769,0.711113,0.620607,,
2015.42,174,0.303258,-0.013557,0.084136,0.19222,0.204979,0.199237,0.118536,0.124626,0.070726,,
2004.92,361,0.303522,0.02891,0.084878,0.179711,0.014735,0.012694,0.00953,0.01225,0.007864,,
2004.67,269,0.303668,-0.076726,0.055619,0.109215,0.094108,0.127158,0.105681,1.716756,0.744117,,
2004.92,343,0.304664,0.035754,0.078901,0.167121,0.008381,0.008882,0.008248,0.011006,0.00726,,
2006.83,307,0.30481,-0.005277,0.118113,0.262367,0.037886,0.029777,0.019856,0.711113,0.620607,,
2004.92,362,0.305252,0.029082,0.085337,0.180677,0.01517,0.012957,0.009622,0.012342,0.00791,,
2017.58,235,0.305894,0.086083,0.097853,0.212312,0.192477,0.220594,0.174659,0.223514,0.153699,,
2006.75,288,0.305985,0.000941,0.042358,0.134966,0.084521,0.071264,0.047812,0.708344,0.619231,,
2004.92,363,0.306463,0.029244,0.08577,0.181589,0.01558,0.013206,0.009709,0.012428,0.007954,,
2006.83,306,0.306538,-0.010656,0.118285,0.262747,0.037941,0.02982,0.019885,0.711113,0.620607,,
2004.75,282,0.306972,0.001239,0.05623,0.129602,0.053757,0.036248,0.018303,0.037605,0.039702,,
2004.92,342,0.306975,0.035748,0.078836,0.16761,0.007845,0.008738,0.008213,0.010979,0.007251,,
2004.92,364,0.307794,0.029409,0.08621,0.182518,0.015998,0.013459,0.009798,0.012517,0.007998,,
2006.83,305,0.308409,-0.015757,0.118515,0.263259,0.038015,0.029878,0.019924,0.711113,0.620607,,
2004.92,341,0.309318,0.035743,0.078774,0.168674,0.00705,0.008593,0.008177,0.010953,0.007243,,
2004.92,365,0.3101,0.029594,0.086704,0.183559,0.016467,0.013743,0.009898,0.012615,0.008047,,
2019.42,181,0.312464,-0.3521,0.086086,0.310461,0.403819,0.536329,0.445547,0.509608,0.297231,,
2004.92,340,0.312554,0.041195,0.082412,0.166004,0.006378,0.00847,0.008164,0.010956,0.007255,,
2004.92,366,0.313576,0.029804,0.087263,0.184737,0.016997,0.014064,0.01001,0.012727,0.008103,,
2015.42,173,0.313839,-0.007843,0.087785,0.200557,0.204979,0.199237,0.118537,0.124631,0.070723,,
2004.92,339,0.314682,0.041711,0.082032,0.165667,0.006105,0.008314,0.008121,0.010919,0.007245,,
2008.58,232,0.314809,0.128943,0.173754,0.220771,0.183124,0.240428,0.200897,0.230257,0.127481,,
2006.75,287,0.316225,0.000693,0.095579,0.270151,0.055328,0.040438,0.046007,0.707704,0.618915,,
2006.92,365,0.316245,0.032186,0.075873,0.234614,0.122136,0.073755,0.023233,0.71373,0.621856,,
2004.92,338,0.316425,0.041634,0.081802,0.165177,0.005822,0.008147,0.008067,0.010868,0.007221,,
2006.92,364,0.317516,0.032067,0.075557,0.233997,0.121887,0.073698,0.023035,0.713667,0.621825,,
2004.92,337,0.318256,0.041568,0.081591,0.164724,0.005539,0.007981,0.008015,0.01082,0.007199,,
2006.92,363,0.318804,0.032375,0.075855,0.23493,0.120705,0.073652,0.022833,0.713603,0.621794,,
