time,dayofyr,ammonium,NO3_ppm[0],NO3_ppm[1],NO3_ppm[2],NO3_ppm[3],NO3_ppm[4],NO3_ppm[5],NO3_ppm[6],NO3_ppm[7],NO3_ppm[8],NO3_ppm[9]        etc...
2051.67,266,0.228137,0.098645,0.077818,0.093685,0.06505,0.097034,0.116915,0.187178,0.129312,,
2079.67,273,0.228137,0.08581,0.09664,0.131078,0.080704,0.10522,0.118556,0.187806,0.129378,,
2053.42,179,0.228137,0.121002,0.266315,0.450344,0.417276,0.445852,0.292154,0.269662,0.129421,,
2053.42,180,0.228137,0.121145,0.266698,0.45115,0.417639,0.446072,0.292231,0.269727,0.129465,,
2051.67,270,0.228137,0.091435,0.08999,0.117174,0.075668,0.102575,0.118034,0.187673,0.129499,,
2053.42,181,0.228137,0.121254,0.266988,0.451762,0.417914,0.446239,0.292289,0.269773,0.1295,,
2031.42,171,0.228137,0.171873,0.319993,0.749166,0.727244,0.70204,0.625258,0.450261,0.129577,,
2051.67,267,0.228137,0.096429,0.082619,0.100103,0.067847,0.098715,0.117518,0.187767,0.129598,,
2051.67,271,0.228137,0.092214,0.092066,0.12155,0.077637,0.103711,0.118492,0.188086,0.129693,,
2087.42,171,0.228137,0.169257,0.313344,0.731011,0.709171,0.687844,0.613737,0.448467,0.129829,,
2031.42,172,0.228137,0.172797,0.322457,0.75436,0.729582,0.703456,0.625749,0.450741,0.129832,,
2031.42,173,0.228137,0.17302,0.323052,0.755613,0.730145,0.703798,0.625864,0.450844,0.129902,,
