"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha"
"Daycent","3","44","3_44","0.268097831649829","-0.175783999999982","0.179954962962963","-0.199999999999999","18.6607826","-0.00113030344826892","-21.9499892","0.0894407011494232","25.7"
"Millennial","3","44","3_44",NA,NA,NA,"-10.0175033315132",NA,NA,NA,NA,"55.6308469442419"
"RothC","3","44","3_44",NA,NA,NA,"-1.776",NA,NA,NA,NA,"19.3083"
"APSIM","3","51","3_51","-1.32442828282826","0.000155555555572562","0.241478787878787","2.6","7.23349","0.11275875862069",NA,NA,"29.5"
"Daycent","3","51","3_51","0.685201921436587","-0.152065234567884","0.500955950617282","3.9","25.8477206","0.107667045517251","-14.5385542","0.214957035249056","29.8"
"Millennial","3","51","3_51",NA,NA,NA,"-5.17070513798491",NA,NA,NA,NA,"60.4776451377702"
"RothC","3","51","3_51",NA,NA,NA,"-0.937799999999999",NA,NA,NA,NA,"20.1465"
"APSIM","3","52","3_52","-1.33279999999999","-0.000311111111093609","0.185987878787881","2.8","7.72939","0.106163310344828",NA,NA,"31.3"
"Daycent","3","52","3_52","1.10737844219977","-0.13773476543208","0.618409728395065","6.2","25.6689303","0.15774327724139","-10.1966438","0.305856725670521","32.1"
"Millennial","3","52","3_52",NA,NA,NA,"-2.72061855173311",NA,NA,NA,NA,"62.927731724022"
"RothC","3","52","3_52",NA,NA,NA,"-0.762899999999998",NA,NA,NA,NA,"20.3214"
"APSIM","3","53","3_53","-1.34320808080807","-0.00062222222220587","0.131571717171719","2.9","8.70845","0.0839670344827591",NA,NA,"34.2"
"Daycent","3","53","3_53","1.46643158698092","-0.0907497283950427","0.708971407407404","6.5","25.5899379","0.16338412000001","-6.0994606","0.36369241455942","32.4"
"Millennial","3","53","3_53",NA,NA,NA,"-0.106792002722415",NA,NA,NA,NA,"65.5415582730327"
