year,date,Obs_sd,treatment_scen,Model,mb_val
2003,12259,NA,Continuous Crop,Millennial,0.570314096
2003,12260,NA,Continuous Crop,Observed,NA
2003,12260,NA,Continuous Crop,Millennial,0.563680516
2003,12261,NA,Continuous Crop,Observed,NA
2003,12261,NA,Continuous Crop,Millennial,0.557850973
2003,12262,NA,Continuous Crop,Observed,NA
2003,12262,NA,Continuous Crop,Millennial,0.552397599
2003,12263,NA,Continuous Crop,Observed,NA
2003,12263,NA,Continuous Crop,Millennial,0.547076643
2003,12264,NA,Continuous Crop,Observed,NA
2003,12264,NA,Continuous Crop,Millennial,0.541779759
2003,12265,NA,Continuous Crop,Observed,NA
2003,12265,NA,Continuous Crop,Millennial,0.536018892
2003,12266,NA,Continuous Crop,Observed,NA
2003,12266,NA,Continuous Crop,Millennial,0.529580944
2003,12267,NA,Continuous Crop,Observed,NA
2003,12267,NA,Continuous Crop,Millennial,0.522493544
2003,12268,NA,Continuous Crop,Observed,NA
2003,12268,NA,Continuous Crop,Millennial,0.514796667
2003,12269,NA,Continuous Crop,Observed,NA
2003,12269,NA,Continuous Crop,Millennial,0.506777479
2003,12270,NA,Continuous Crop,Observed,NA
2003,12270,NA,Continuous Crop,Millennial,0.498874506
2003,12271,NA,Continuous Crop,Observed,NA
2003,12271,NA,Continuous Crop,Millennial,0.49111969
2003,12272,NA,Continuous Crop,Observed,NA
2003,12272,NA,Continuous Crop,Millennial,0.483313642
2003,12273,NA,Continuous Crop,Observed,NA
2003,12273,NA,Continuous Crop,Millennial,0.476171199
2003,12274,NA,Continuous Crop,Observed,NA
2003,12274,NA,Continuous Crop,Millennial,0.47019896
2003,12275,NA,Continuous Crop,Observed,NA
2003,12275,NA,Continuous Crop,Millennial,0.464776747
2003,12276,NA,Continuous Crop,Observed,NA
2003,12276,NA,Continuous Crop,Millennial,0.46008932
2003,12277,NA,Continuous Crop,Observed,NA
2003,12277,NA,Continuous Crop,Millennial,0.456749497
2003,12278,NA,Continuous Crop,Observed,NA
2003,12278,NA,Continuous Crop,Millennial,0.454547569
2003,12279,NA,Continuous Crop,Observed,NA
2003,12279,NA,Continuous Crop,Millennial,0.452893235
2003,12280,NA,Continuous Crop,Observed,NA
2003,12280,NA,Continuous Crop,Millennial,0.45108762
2003,12281,NA,Continuous Crop,Observed,NA
2003,12281,NA,Continuous Crop,Millennial,0.44875488
