"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha","N2O_Mgha","CH4_Mgha","CO2e_SOC","CO2e_N2O","CO2e_CH4","scenario_abbrev","GWP"
"Daycent",5,44,"5_44",NA,NA,NA,0.299999999999997,10.792343,0.0430798055172427,-0.9819702,0.558373844444373,9.4,0.681517777777785,0.932326700854716,0.010792343,-0.0009819702,-1.09999999999999,4.629915147,-0.0353509272,"RF35-CR",3.49456421980001
"Daycent",5,51,"5_51",NA,NA,NA,1.4,11.4944431,0.0338242041379321,-7.6148071,0.494628893486515,9.2,0.550979111111118,1.00690324786325,0.0114944431,-0.0076148071,-5.13333333333333,4.9311160899,-0.2741330556,"RR50-CR",-0.476350299033333
"Daycent",5,52,"5_52",NA,NA,NA,2.2,11.3546534,0.0327558068965527,-0.292195,0.617645026819839,10.6,0.674055222222229,1.02201011965812,0.0113546534,-0.000292195,-8.06666666666667,4.8711463086,-0.01051902,"RR25-CR",-3.20603937806667
"Daycent",5,53,"5_53",NA,NA,NA,1.3,11.7805322,0.070383147586208,8.6300473,0.781812324137849,10.4,0.915615555555561,1.25957880341882,0.0117805322,0.0086300473,-4.76666666666667,5.0538483138,0.3106817028,"RR00-CR",0.597863349933333
"Daycent",5,54,"5_54",NA,NA,NA,3.6,9.2752155,0.0364476027586211,-112.7548157,0.0401118183906726,12.1,0.509528111111116,0.601312615384636,0.0092752155,-0.1127548157,-13.2,3.9790674495,-4.0591733652,"RR50-NT-CR",-13.2801059157
"Daycent",5,55,"5_55",NA,NA,NA,4.6,9.2859126,0.0436809862068967,-103.8637215,0.0612148942527391,13.3,0.549422666666672,0.5678765811966,0.0092859126,-0.1038637215,-16.8666666666667,3.9836565054,-3.739093974,"RR25-NT-CR",-16.6221041352667
"Daycent",5,56,"5_56",NA,NA,NA,5.4,9.4185306,0.0525376317241376,-94.7456429,0.105212062068827,14.4,0.589784333333341,0.547751316239335,0.0094185306,-0.0947456429,-19.8,4.0405496274,-3.4108431444,"RR00-NT-CR",-19.170293517
"Daycent",5,7,"5_7",NA,NA,NA,-0.199999999999999,8.5447857,0.0450981406896567,-26.6145561,0.458505816091958,8.2,0.490436475095798,NA,0.0085447857,-0.0266145561,0.73333333333333,3.6657130653,-0.9581240196,"CN",3.44092237903333
"Daycent",5,8,"5_8",NA,NA,NA,5.1,8.5819339,0.0373082317241383,-97.8498161,0.035517318007523,14.3,0.522193000000009,0.487255658119679,0.0085819339,-0.0978498161,-18.7,3.6816496431,-3.5225933796,"CC-NT-CR",-18.5409437365
"APSIM",1,3,"1_3",NA,NA,NA,0,18.38251,0.0287074482758607,13.7817539,NA,6.4,-0.242400000000004,0.441521531100481,0.01838251,0.0137817539,0,7.88609679,0.4961431404,"CC-CR",8.3822399304
"Millennial",1,3,"1_3",NA,NA,NA,0.175562042600497,14.71351745,NA,13.7817539,NA,44.1645252653982,NA,NA,0.01471351745,0.0137817539,-0.643727489535156,6.31209898605,0.4961431404,"CC-CR",6.16451463691484
"RothC",1,3,"1_3",NA,NA,NA,0.223,14.71351745,NA,13.7817539,NA,7.0169,NA,NA,0.01471351745,0.0137817539,-0.817666666666667,6.31209898605,0.4961431404,"CC-CR",5.99057545978333
"APSIM",1,41,"1_41",NA,NA,NA,0,17.9108,0.0805208275862051,5.0251019,NA,6.4,0.387692307692326,-0.56719180537776,0.0179108,0.0050251019,0,7.6837332,0.1809036684,"RF05-CR",7.8646368684
"Millennial",1,41,"1_41",NA,NA,NA,-0.128817066173603,14.49970635,NA,5.0251019,NA,44.9474853850176,NA,NA,0.01449970635,0.0050251019,0.472329242636544,6.22037402415,0.1809036684,"RF05-CR",6.87360693518654
"RothC",1,41,"1_41",NA,NA,NA,0.229450000000001,14.49970635,NA,5.0251019,NA,6.948,NA,NA,0.01449970635,0.0050251019,-0.84131666666667,6.22037402415,0.1809036684,"RF05-CR",5.55996102588333
"APSIM",1,42,"1_42",NA,NA,NA,0,16.92369,0.0770453793103434,2.6246101,NA,6.4,0.385415384615403,-0.564599743918095,0.01692369,0.0026246101,0,7.26026301,0.0944859636,"RF15-CR",7.3547489736
"Millennial",1,42,"1_42",NA,NA,NA,-0.532114203272904,13.91355755,NA,2.6246101,NA,44.5441882479183,NA,NA,0.01391355755,0.0026246101,1.95108541200065,5.96891618895,0.0944859636,"RF15-CR",8.01448756455065
"RothC",1,42,"1_42",NA,NA,NA,0.1338,13.91355755,NA,2.6246101,NA,6.8524,NA,NA,0.01391355755,0.0026246101,-0.4906,5.96891618895,0.0944859636,"RF15-CR",5.57280215255
"APSIM",1,43,"1_43",NA,NA,NA,-0.0999999999999996,15.9744,0.0608075862068945,0.1434132,NA,6.4,0.291107692307712,-0.564208962868157,0.0159744,0.0001434132,0.366666666666665,6.8530176,0.0051628752,"RF25-CR",7.22484714186666
"Millennial",1,43,"1_43",NA,NA,NA,-0.946776167753107,13.296493,NA,0.1434132,NA,44.1295262834381,NA,NA,0.013296493,0.0001434132,3.47151261509473,5.704195497,0.0051628752,"RF25-CR",9.18087098729472
"RothC",1,43,"1_43",NA,NA,NA,0.0382999999999996,13.296493,NA,0.1434132,NA,6.75695,NA,NA,0.013296493,0.0001434132,-0.140433333333332,5.704195497,0.0051628752,"RF25-CR",5.56892503886667
"APSIM",1,44,"1_44",NA,NA,NA,0,15.06028,0.0557651034482737,-2.444161,NA,6.4,0.258800000000019,-0.564316517285569,0.01506028,-0.002444161,0,6.46086012,-0.087989796,"RF35-CR",6.372870324
