"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha"
"Daycent",5,41,"5_41",NA,NA,NA,"-0.700000000000001","9.1682999","0.0497423062068986","-53.1909123","-0.0327139264367622","6.4","0.0399431111111068","0.298914119658102"
"Daycent",5,42,"5_42",NA,NA,NA,"-0.800000000000001","8.977345","0.0454048648275882","-54.2889487","-0.0523332360153064","6.3","0.0224328888888853","0.274102427350411"
"Daycent",5,43,"5_43",NA,NA,NA,"-0.9","8.776525","0.0404982813793123","-55.3895792","-0.0694515034482575","6.2","0.00345544444444101","0.254446427350411"
"Daycent",5,44,"5_44",NA,NA,NA,"-1","8.5742479","0.0348527958620707","-56.5107287","-0.0848158421455769","6.1","-0.0143048888888923","0.236149196581181"
"Daycent",5,51,"5_51",NA,NA,NA,"-0.6","9.2059063","0.0377518841379328","-63.2692818","-0.187392523371622","5.7","-0.0658527777777798","0.0636313846153638"
"Daycent",5,52,"5_52",NA,NA,NA,"-0.300000000000001","9.266836","0.0441647710344847","-59.3432446","-0.152559364750933","6.4","-0.0306031111111138","0.1207928205128"
"Daycent",5,53,"5_53",NA,NA,NA,"-0.700000000000001","9.2572525","0.0519090800000022","-52.635727","-0.0236862130267996","6.4","0.0487171111111072","0.312659623931606"
"Daycent",5,54,"5_54",NA,NA,NA,"0.999999999999999","7.2175535","0.0306743862068984","-146.5110428","-0.293565607662842","8.2","-0.0565623333333368","0.0365245128205006"
"Daycent",5,55,"5_55",NA,NA,NA,"1.5","7.1818273","0.0333164289655192","-142.3558116","-0.306287067432957","8.8","-0.034028111111115","0.0605230769230649"
"Daycent",5,56,"5_56",NA,NA,NA,"2","7.1602042","0.0364766772413812","-137.7263321","-0.32412515249043","9.4","-0.0149777777777821","0.0850478632478521"
"Daycent",5,7,"5_7",NA,NA,NA,"-0.799999999999999","9.0451986","0.0501454551724161","-60.5074756","-0.0548249984674127","6.2","0.0298002758620776",NA
"Daycent",5,8,"5_8",NA,NA,NA,"3.6","9.4258943","0.0412915006896558","-117.9425554","-0.307674401532597","11.5","0.00641688888888492","0.446557538461529"
"APSIM",1,3,"1_3",NA,NA,NA,"0","4.63585","0.0124675862068956",NA,NA,"6.4","-0.242399999999986","0.441521531100481"
"Millennial",1,3,"1_3",NA,NA,NA,"-0.759706552802896",NA,NA,NA,NA,"41.9699383785001",NA,NA
"RothC",1,3,"1_3",NA,NA,NA,"-0.22565",NA,NA,NA,NA,"6.3311",NA,NA
"APSIM",1,41,"1_41",NA,NA,NA,"-0.100000000000001","3.24834","-0.0025325517241386",NA,NA,"5.8","-0.0872499999999917","0.544516746411486"
"Millennial",1,41,"1_41",NA,NA,NA,"-4.0366950019139",NA,NA,NA,NA,"38.6547721968164",NA,NA
"RothC",1,41,"1_41",NA,NA,NA,"-0.427",NA,NA,NA,NA,"5.79105",NA,NA
"APSIM",1,42,"1_42",NA,NA,NA,"0","3.11677","0.000822482758619986",NA,NA,"5.8","-0.0551499999999938","0.544339712918662"
"Millennial",1,42,"1_42",NA,NA,NA,"-4.14230453059599",NA,NA,NA,NA,"38.5491626681343",NA,NA
"RothC",1,42,"1_42",NA,NA,NA,"-0.459449999999999",NA,NA,NA,NA,"5.7586",NA,NA
"APSIM",1,43,"1_43",NA,NA,NA,"0","2.98673","0.00525848275862012",NA,NA,"5.8","-0.0238499999999962","0.562540669856462"
"Millennial",1,43,"1_43",NA,NA,NA,"-4.23739608452929",NA,NA,NA,NA,"38.454071114201",NA,NA
"RothC",1,43,"1_43",NA,NA,NA,"-0.492",NA,NA,NA,NA,"5.726",NA,NA
"APSIM",1,44,"1_44",NA,NA,NA,"-0.0999999999999996","2.85817","0.00841462068965461",NA,NA,"5.7","-0.0121499999999977","0.559306220095697"
"Millennial",1,44,"1_44",NA,NA,NA,"-4.32102824802009",NA,NA,NA,NA,"38.3704389507102",NA,NA
"RothC",1,44,"1_44",NA,NA,NA,"-0.52575",NA,NA,NA,NA,"5.6922",NA,NA
"Millennial",1,51,"1_51",NA,NA,NA,"-2.4459625084521",NA,NA,NA,NA,"40.0285995811538",NA,NA
"RothC",1,51,"1_51",NA,NA,NA,"-0.5404",NA,NA,NA,NA,"5.5897",NA,NA
"Millennial",1,52,"1_52",NA,NA,NA,"-3.36868125409531",NA,NA,NA,NA,"39.218479415232",NA,NA
"RothC",1,52,"1_52",NA,NA,NA,"-0.49075",NA,NA,NA,NA,"5.6831",NA,NA
"Millennial",1,53,"1_53",NA,NA,NA,"-3.9823782223034",NA,NA,NA,NA,"38.7090889764269",NA,NA
"RothC",1,53,"1_53",NA,NA,NA,"-0.4106",NA,NA,NA,NA,"5.80745",NA,NA
"Millennial",1,54,"1_54",NA,NA,NA,"-3.8784917836664",NA,NA,NA,NA,"36.4998187599274",NA,NA
"RothC",1,54,"1_54",NA,NA,NA,"-0.57495",NA,NA,NA,NA,"5.5139",NA,NA
"Millennial",1,55,"1_55",NA,NA,NA,"-4.13785550703641",NA,NA,NA,NA,"35.8278002569166",NA,NA
"RothC",1,55,"1_55",NA,NA,NA,"-0.570550000000001",NA,NA,NA,NA,"5.51885",NA,NA
"Millennial",1,56,"1_56",NA,NA,NA,"-4.1731054597797",NA,NA,NA,NA,"35.5582081795906",NA,NA
"RothC",1,56,"1_56",NA,NA,NA,"-0.5655",NA,NA,NA,NA,"5.5247",NA,NA
"APSIM",1,61,"1_61",NA,NA,NA,"-0.800000000000001","3.33275","-0.0057073103448284",NA,NA,"10","-0.141549999999991","0.363261538461527"
"APSIM",1,62,"1_62",NA,NA,NA,"-1.6","3.36194","-0.00857462068965609",NA,NA,"14","-0.175199999999989","0.412430769230758"
"APSIM",1,63,"1_63",NA,NA,NA,"-2.3","3.3639","-0.00897765517241465",NA,NA,"18","-0.230349999999989","0.48750769230768"
"APSIM",1,64,"1_64",NA,NA,NA,"-2.9","3.37139","-0.00628303448275942",NA,NA,"22.2","-0.221299999999989","0.380892307692301"
